,시도,인구수,연도,월,사용량,위도,경도
371,대구광역시,2475231.0,2017,12,1357294.0,35.825757,128.576897
372,대구광역시,2474309.0,2018,1,1465797.0,35.825757,128.576897
373,대구광역시,2473466.0,2018,2,1433194.0,35.825757,128.576897
374,대구광역시,2472175.0,2018,3,1253100.0,35.825757,128.576897
375,대구광역시,2471136.0,2018,4,1230455.0,35.825757,128.576897
376,대구광역시,2469936.0,2018,5,1176277.0,35.825757,128.576897
377,대구광역시,2469617.0,2018,6,1232515.0,35.825757,128.576897
378,대구광역시,2468824.0,2018,7,1342336.0,35.825757,128.576897
379,대구광역시,2467385.0,2018,8,1565102.0,35.825757,128.576897
380,대구광역시,2466454.0,2018,9,1309344.0,35.825757,128.576897
381,대구광역시,2465145.0,2018,10,1136572.0,35.825757,128.576897
382,대구광역시,2464002.0,2018,11,1210936.0,35.825757,128.576897
383,대구광역시,2461769.0,2018,12,1320121.0,35.825757,128.576897
384,대구광역시,2460382.0,2019,1,1437112.0,35.825757,128.576897
385,대구광역시,2458138.0,2019,2,1327236.0,35.825757,128.576897
386,대구광역시,2455829.0,2019,3,1213326.0,35.825757,128.576897
387,대구광역시,2454154.0,2019,4,1228571.0,35.825757,128.576897
388,대구광역시,2452291.0,2019,5,1170519.0,35.825757,128.576897
389,대구광역시,2450478.0,2019,6,1204862.0,35.825757,128.576897
390,대구광역시,2448666.0,2019,7,1273370.0,35.825757,128.576897
391,대구광역시,2446745.0,2019,8,1433600.0,35.825757,128.576897
392,대구광역시,2445270.0,2019,9,1314078.0,35.825757,128.576897
393,대구광역시,2443528.0,2019,10,1189613.0,35.825757,128.576897
394,대구광역시,2441581.0,2019,11,1181452.0,35.825757,128.576897
395,대구광역시,2438031.0,2019,12,1291844.0,35.825757,128.576897
396,대구광역시,2436488.0,2020,1,1361827.0,35.825757,128.576897
397,대구광역시,2432883.0,2020,2,1314568.0,35.825757,128.576897
398,대구광역시,2433568.0,2020,3,1200565.0,35.825757,128.576897
399,대구광역시,2431523.0,2020,4,1137812.0,35.825757,128.576897
400,대구광역시,2429059.0,2020,5,1044272.0,35.825757,128.576897
401,대구광역시,2427954.0,2020,6,1149699.0,35.825757,128.576897
402,대구광역시,2428022.0,2020,7,1221759.0,35.825757,128.576897
403,대구광역시,2428228.0,2020,8,1318926.0,35.825757,128.576897
404,대구광역시,2426849.0,2020,9,1398370.0,35.825757,128.576897
