,년월,연도,월,시도,사용량,주택가격변동률
312,2016_2,2016,2,대전광역시,844537,1.51
313,2016_2,2016,2,부산광역시,1802496,1.02
314,2016_2,2016,2,서울특별시,4174917,-0.07
315,2016_2,2016,2,세종특별자치시,239143,0
316,2016_2,2016,2,울산광역시,2579198,0.72
317,2016_2,2016,2,인천광역시,2022911,-0.2
318,2016_2,2016,2,전라남도,2775291,0.15
319,2016_2,2016,2,전라북도,1993238,0.91
320,2016_2,2016,2,제주특별자치도,447375,0.41
321,2016_2,2016,2,충청남도,4101465,0.82
322,2016_2,2016,2,충청북도,2105112,1.68
323,2017_2,2017,2,강원도,1570620,3.04
324,2017_2,2017,2,경기도,10228593,0.1
325,2017_2,2017,2,경상남도,3216892,0.98
326,2017_2,2017,2,경상북도,3858427,0.46
327,2017_2,2017,2,광주광역시,773394,1.36
328,2017_2,2017,2,대구광역시,1375375,0.76
329,2017_2,2017,2,대전광역시,848651,1.26
330,2017_2,2017,2,부산광역시,1824630,0.92
331,2017_2,2017,2,서울특별시,4166700,0.12
332,2017_2,2017,2,세종특별자치시,254773,0
333,2017_2,2017,2,울산광역시,2492173,0.69
334,2017_2,2017,2,인천광역시,2146147,-0.29
335,2017_2,2017,2,전라남도,2784465,0.54
336,2017_2,2017,2,전라북도,2027150,1.05
337,2017_2,2017,2,제주특별자치도,462912,0.64
338,2017_2,2017,2,충청남도,4225252,0.74
339,2017_2,2017,2,충청북도,2166244,1.32
340,2018_2,2018,2,강원도,1674745,1.3
341,2018_2,2018,2,경기도,11183300,0.12
342,2018_2,2018,2,경상남도,3258151,1.3
343,2018_2,2018,2,경상북도,3978655,0.66
344,2018_2,2018,2,광주광역시,798506,1.71
345,2018_2,2018,2,대구광역시,1433194,0.94
346,2018_2,2018,2,대전광역시,885432,1.22
347,2018_2,2018,2,부산광역시,1898871,0.95
348,2018_2,2018,2,서울특별시,4469940,-0.02
349,2018_2,2018,2,세종특별자치시,269702,0
350,2018_2,2018,2,울산광역시,2600426,0.95
351,2018_2,2018,2,인천광역시,2195442,-0.28
352,2018_2,2018,2,전라남도,2885332,0.7
353,2018_2,2018,2,전라북도,2037531,1.36
354,2018_2,2018,2,제주특별자치도,511137,0.31
355,2018_2,2018,2,충청남도,4387240,0.82
356,2018_2,2018,2,충청북도,2282183,1.45
357,2019_2,2019,2,강원도,1512411,0.93
358,2019_2,2019,2,경기도,10712180,0.07
359,2019_2,2019,2,경상남도,3043750,0.87
360,2019_2,2019,2,경상북도,3733473,0.64
361,2019_2,2019,2,광주광역시,741799,0.98
362,2019_2,2019,2,대구광역시,1327236,0.68
363,2019_2,2019,2,대전광역시,814190,0.75
364,2019_2,2019,2,부산광역시,1753708,0.85
365,2019_2,2019,2,서울특별시,4127699,-0.01
366,2019_2,2019,2,세종특별자치시,266668,0
367,2019_2,2019,2,울산광역시,2621410,0.9
368,2019_2,2019,2,인천광역시,2028323,-0.36
369,2019_2,2019,2,전라남도,2731063,0.61
370,2019_2,2019,2,전라북도,1898888,0.91
371,2019_2,2019,2,제주특별자치도,505067,0.66
372,2019_2,2019,2,충청남도,4297030,0.71
373,2019_2,2019,2,충청북도,2238691,1.08
374,2020_2,2020,2,강원도,1501655,1.08
375,2020_2,2020,2,경기도,10853826,-0.01
376,2020_2,2020,2,경상남도,3125833,0.65
377,2020_2,2020,2,경상북도,3562814,0.85
378,2020_2,2020,2,광주광역시,740068,0.62
379,2020_2,2020,2,대구광역시,1314568,1.05
380,2020_2,2020,2,대전광역시,830839,0.19
381,2020_2,2020,2,부산광역시,1782217,0.96
382,2020_2,2020,2,서울특별시,4037392,-0.08
383,2020_2,2020,2,세종특별자치시,283275,0
384,2020_2,2020,2,울산광역시,2707435,1.8
385,2020_2,2020,2,인천광역시,2062334,-0.35
386,2020_2,2020,2,전라남도,2619058,1.19
387,2020_2,2020,2,전라북도,1903234,0.86
388,2020_2,2020,2,제주특별자치도,492245,0.41
389,2020_2,2020,2,충청남도,4377240,0.83
390,2020_2,2020,2,충청북도,2304328,0.76
391,2021_2,2021,2,강원도,1539605,0.52
392,2021_2,2021,2,경기도,11464174,-0.1
393,2021_2,2021,2,경상남도,3131331,0.16
394,2021_2,2021,2,경상북도,3673374,0.56
395,2021_2,2021,2,광주광역시,767227,0.37
396,2021_2,2021,2,대구광역시,1342988,0.49
397,2021_2,2021,2,대전광역시,847141,-0.06
398,2021_2,2021,2,부산광역시,1762335,0.32
399,2021_2,2021,2,서울특별시,4134045,-0.12
400,2021_2,2021,2,세종특별자치시,304010,0
401,2021_2,2021,2,울산광역시,2646795,0.78
402,2021_2,2021,2,인천광역시,2089431,-0.2
403,2021_2,2021,2,전라남도,2738900,1.18
404,2021_2,2021,2,전라북도,1830234,0.81
405,2021_2,2021,2,제주특별자치도,503324,0.52
406,2021_2,2021,2,충청남도,4039445,0.33
407,2021_2,2021,2,충청북도,2373601,0.56
408,2010_3,2010,3,강원도,1308429,1.53
409,2010_3,2010,3,경기도,7574084,-0.16
410,2010_3,2010,3,경상남도,2648326,0.29
411,2010_3,2010,3,경상북도,3484251,0.7
412,2010_3,2010,3,광주광역시,632293,0.8
413,2010_3,2010,3,대구광역시,1172936,1.56
414,2010_3,2010,3,대전광역시,716986,-0.24
415,2010_3,2010,3,부산광역시,1635276,0
416,2010_3,2010,3,서울특별시,3624186,-0.16
417,2010_3,2010,3,세종특별자치시,0,0
418,2010_3,2010,3,울산광역시,2179708,0.9
419,2010_3,2010,3,인천광역시,1797828,-0.14
420,2010_3,2010,3,전라남도,2027921,0.63
421,2010_3,2010,3,전라북도,1572336,0.91
422,2010_3,2010,3,제주특별자치도,284038,1
423,2010_3,2010,3,충청남도,3236855,0.67
424,2010_3,2010,3,충청북도,1658672,0.48
425,2011_3,2011,3,강원도,1420666,0.37
426,2011_3,2011,3,경기도,8206234,-0.05
427,2011_3,2011,3,경상남도,2874490,-0.06
428,2011_3,2011,3,경상북도,3779253,0.15
429,2011_3,2011,3,광주광역시,672951,-0.03
430,2011_3,2011,3,대구광역시,1234507,0.38
431,2011_3,2011,3,대전광역시,757165,-0.33
432,2011_3,2011,3,부산광역시,1704632,-0.19
433,2011_3,2011,3,서울특별시,3736362,-0.14
434,2011_3,2011,3,세종특별자치시,0,0
435,2011_3,2011,3,울산광역시,2302130,0.75
436,2011_3,2011,3,인천광역시,1925528,-0.15
437,2011_3,2011,3,전라남도,2249390,-0.09
438,2011_3,2011,3,전라북도,1823953,0.12
439,2011_3,2011,3,제주특별자치도,301595,1.21
440,2011_3,2011,3,충청남도,3649257,0.1
441,2011_3,2011,3,충청북도,1795514,0.22
442,2012_3,2012,3,강원도,1471927,0.3
443,2012_3,2012,3,경기도,8665829,-0.17
444,2012_3,2012,3,경상남도,2976283,0.18
445,2012_3,2012,3,경상북도,3959571,0.43
446,2012_3,2012,3,광주광역시,696422,0.51
447,2012_3,2012,3,대구광역시,1281521,0.48
448,2012_3,2012,3,대전광역시,785989,-0.15
449,2012_3,2012,3,부산광역시,1794675,-0.13
450,2012_3,2012,3,서울특별시,3837539,-0.33
451,2012_3,2012,3,세종특별자치시,0,0
452,2012_3,2012,3,울산광역시,2488226,0.62
453,2012_3,2012,3,인천광역시,1938203,-0.21
454,2012_3,2012,3,전라남도,2322324,0.09
455,2012_3,2012,3,전라북도,1932255,0.45
456,2012_3,2012,3,제주특별자치도,332926,0.17
457,2012_3,2012,3,충청남도,3944672,0.37
458,2012_3,2012,3,충청북도,1879751,0.37
459,2013_3,2013,3,강원도,1401610,0.26
460,2013_3,2013,3,경기도,8564516,-0.2
461,2013_3,2013,3,경상남도,2852239,-0.12
462,2013_3,2013,3,경상북도,3862004,0.26
463,2013_3,2013,3,광주광역시,658528,0.25
464,2013_3,2013,3,대구광역시,1214829,0.42
465,2013_3,2013,3,대전광역시,752100,-0.24
466,2013_3,2013,3,부산광역시,1660595,-0.21
467,2013_3,2013,3,서울특별시,3652776,-0.48
468,2013_3,2013,3,세종특별자치시,193991,0
469,2013_3,2013,3,울산광역시,2359822,0.65
470,2013_3,2013,3,인천광역시,1914157,-0.12
471,2013_3,2013,3,전라남도,2561902,0.35
472,2013_3,2013,3,전라북도,1884301,0.13
473,2013_3,2013,3,제주특별자치도,331589,0.37
474,2013_3,2013,3,충청남도,3808302,0.31
475,2013_3,2013,3,충청북도,1831061,0.48
476,2014_3,2014,3,강원도,1394556,0.07
477,2014_3,2014,3,경기도,8604750,-0.25
478,2014_3,2014,3,경상남도,2944134,-0.16
479,2014_3,2014,3,경상북도,4015412,0.26
480,2014_3,2014,3,광주광역시,683278,0.47
481,2014_3,2014,3,대구광역시,1246283,0.23
482,2014_3,2014,3,대전광역시,757265,-0.22
483,2014_3,2014,3,부산광역시,1675854,-0.24
484,2014_3,2014,3,서울특별시,3547923,-0.39
485,2014_3,2014,3,세종특별자치시,208030,0
486,2014_3,2014,3,울산광역시,2565806,0.58
487,2014_3,2014,3,인천광역시,1876836,-0.36
488,2014_3,2014,3,전라남도,2804619,0.12
489,2014_3,2014,3,전라북도,1930533,-0.11
490,2014_3,2014,3,제주특별자치도,359620,0.9
491,2014_3,2014,3,충청남도,4085945,0.32
492,2014_3,2014,3,충청북도,1921157,0.5
493,2015_3,2015,3,강원도,1438930,0.03
494,2015_3,2015,3,경기도,8783408,-0.39
495,2015_3,2015,3,경상남도,2964230,-0.28
496,2015_3,2015,3,경상북도,3833618,0.22
497,2015_3,2015,3,광주광역시,686980,0.52
498,2015_3,2015,3,대구광역시,1233059,0.08
499,2015_3,2015,3,대전광역시,761115,-0.62
500,2015_3,2015,3,부산광역시,1655945,-0.4
501,2015_3,2015,3,서울특별시,3592926,-0.5
502,2015_3,2015,3,세종특별자치시,222292,0
503,2015_3,2015,3,울산광역시,2464928,0.43
504,2015_3,2015,3,인천광역시,1959769,-0.42
505,2015_3,2015,3,전라남도,2949659,0.19
506,2015_3,2015,3,전라북도,1943996,-0.17
507,2015_3,2015,3,제주특별자치도,378029,0
508,2015_3,2015,3,충청남도,4025780,0.2
509,2015_3,2015,3,충청북도,1965128,0.18
510,2016_3,2016,3,강원도,1467505,0.07
511,2016_3,2016,3,경기도,9305513,-0.48
512,2016_3,2016,3,경상남도,3061924,-0.37
513,2016_3,2016,3,경상북도,3898041,0.25
514,2016_3,2016,3,광주광역시,714023,0.15
515,2016_3,2016,3,대구광역시,1281266,0.11
516,2016_3,2016,3,대전광역시,790757,-0.49
517,2016_3,2016,3,부산광역시,1717796,-0.33
518,2016_3,2016,3,서울특별시,3729909,-0.46
519,2016_3,2016,3,세종특별자치시,241009,0
520,2016_3,2016,3,울산광역시,2760005,-0.34
521,2016_3,2016,3,인천광역시,2033501,-0.49
522,2016_3,2016,3,전라남도,2766219,-0.05
523,2016_3,2016,3,전라북도,2003641,-0.2
524,2016_3,2016,3,제주특별자치도,404279,0.04
525,2016_3,2016,3,충청남도,4090460,0.16
526,2016_3,2016,3,충청북도,1979334,0.22
527,2017_3,2017,3,강원도,1460105,-0.07
528,2017_3,2017,3,경기도,9551033,-0.5
529,2017_3,2017,3,경상남도,2992019,-0.28
530,2017_3,2017,3,경상북도,3827880,0.38
531,2017_3,2017,3,광주광역시,717911,-0.04
532,2017_3,2017,3,대구광역시,1263786,0.29
533,2017_3,2017,3,대전광역시,779387,-0.64
534,2017_3,2017,3,부산광역시,1693920,-0.38
535,2017_3,2017,3,서울특별시,3649111,-0.61
536,2017_3,2017,3,세종특별자치시,247248,0
537,2017_3,2017,3,울산광역시,2659206,-0.15
538,2017_3,2017,3,인천광역시,2042082,-0.5
539,2017_3,2017,3,전라남도,2846966,0.1
540,2017_3,2017,3,전라북도,1996166,-0.07
541,2017_3,2017,3,제주특별자치도,415698,0.03
542,2017_3,2017,3,충청남도,4277074,0.29
543,2017_3,2017,3,충청북도,2138945,0.1
