,연도,시도,월,사용량
574,2019,전라북도,3,1934090
575,2019,제주특별자치도,3,451731
576,2019,충청남도,3,4414219
577,2019,충청북도,3,2246393
578,2020,강원도,3,1400869
579,2020,경기도,3,10401852
580,2020,경상남도,3,2954776
581,2020,경상북도,3,3480140
582,2020,광주광역시,3,696886
583,2020,대구광역시,3,1200565
584,2020,대전광역시,3,771329
585,2020,부산광역시,3,1670111
586,2020,서울특별시,3,3657444
587,2020,세종특별자치시,3,280549
588,2020,울산광역시,3,2856122
589,2020,인천광역시,3,1997984
590,2020,전라남도,3,2603919
591,2020,전라북도,3,1740083
592,2020,제주특별자치도,3,451371
593,2020,충청남도,3,4415486
594,2020,충청북도,3,2291113
595,2021,강원도,3,1395074
596,2021,경기도,3,10668287
597,2021,경상남도,3,2991661
598,2021,경상북도,3,3621472
599,2021,광주광역시,3,697761
600,2021,대구광역시,3,1222748
601,2021,대전광역시,3,771955
602,2021,부산광역시,3,1656492
603,2021,서울특별시,3,3550751
604,2021,세종특별자치시,3,296000
605,2021,울산광역시,3,2812601
606,2021,인천광역시,3,2021302
607,2021,전라남도,3,2724005
608,2021,전라북도,3,1771153
609,2021,제주특별자치도,3,450805
610,2021,충청남도,3,4077387
611,2021,충청북도,3,2344911
612,2010,강원도,4,1317499
613,2010,경기도,4,7727001
614,2010,경상남도,4,2665253
615,2010,경상북도,4,3454660
616,2010,광주광역시,4,642843
617,2010,대구광역시,4,1199557
618,2010,대전광역시,4,724076
619,2010,부산광역시,4,1682021
620,2010,서울특별시,4,3719082
621,2010,세종특별자치시,4,0
622,2010,울산광역시,4,2170165
623,2010,인천광역시,4,1825715
624,2010,전라남도,4,2049713
625,2010,전라북도,4,1609044
626,2010,제주특별자치도,4,300520
627,2010,충청남도,4,3198820
628,2010,충청북도,4,1682392
629,2011,강원도,4,1361937
630,2011,경기도,4,7992730
631,2011,경상남도,4,2770642
632,2011,경상북도,4,3721268
633,2011,광주광역시,4,669154
634,2011,대구광역시,4,1216588
635,2011,대전광역시,4,739750
636,2011,부산광역시,4,1709300
637,2011,서울특별시,4,3682652
638,2011,세종특별자치시,4,0
639,2011,울산광역시,4,2326725
640,2011,인천광역시,4,1859019
641,2011,전라남도,4,2310756
642,2011,전라북도,4,1764514
643,2011,제주특별자치도,4,314060
644,2011,충청남도,4,3521544
645,2011,충청북도,4,1755631
646,2012,강원도,4,1382879
647,2012,경기도,4,8233401
648,2012,경상남도,4,2785022
649,2012,경상북도,4,3769210
650,2012,광주광역시,4,675943
651,2012,대구광역시,4,1229268
652,2012,대전광역시,4,745833
653,2012,부산광역시,4,1710623
654,2012,서울특별시,4,3695515
655,2012,세종특별자치시,4,0
656,2012,울산광역시,4,2344787
657,2012,인천광역시,4,1847382
658,2012,전라남도,4,2311276
659,2012,전라북도,4,1862254
660,2012,제주특별자치도,4,327775
661,2012,충청남도,4,3759126
662,2012,충청북도,4,1804075
663,2013,강원도,4,1373728
664,2013,경기도,4,8420099
665,2013,경상남도,4,2810317
666,2013,경상북도,4,3721222
667,2013,광주광역시,4,682512
668,2013,대구광역시,4,1220101
669,2013,대전광역시,4,744219
670,2013,부산광역시,4,1666780
671,2013,서울특별시,4,3638393
672,2013,세종특별자치시,4,193422
673,2013,울산광역시,4,2389607
674,2013,인천광역시,4,1858262
675,2013,전라남도,4,2526041
676,2013,전라북도,4,1859911
677,2013,제주특별자치도,4,342968
678,2013,충청남도,4,3708208
679,2013,충청북도,4,1848760
680,2014,강원도,4,1313298
681,2014,경기도,4,8295696
682,2014,경상남도,4,2820219
683,2014,경상북도,4,3880598
684,2014,광주광역시,4,671402
685,2014,대구광역시,4,1222595
686,2014,대전광역시,4,732896
687,2014,부산광역시,4,1665838
688,2014,서울특별시,4,3466188
689,2014,세종특별자치시,4,200310
690,2014,울산광역시,4,2493939
691,2014,인천광역시,4,1815977
692,2014,전라남도,4,2709942
693,2014,전라북도,4,1871011
694,2014,제주특별자치도,4,362046
695,2014,충청남도,4,3889221
696,2014,충청북도,4,1842677
697,2015,강원도,4,1376925
698,2015,경기도,4,8597671
699,2015,경상남도,4,2888704
700,2015,경상북도,4,3821201
701,2015,광주광역시,4,682684
702,2015,대구광역시,4,1244033
703,2015,대전광역시,4,746537
704,2015,부산광역시,4,1671290
705,2015,서울특별시,4,3512071
706,2015,세종특별자치시,4,222824
707,2015,울산광역시,4,2510891
708,2015,인천광역시,4,1913281
709,2015,전라남도,4,2789053
710,2015,전라북도,4,1902282
711,2015,제주특별자치도,4,381372
712,2015,충청남도,4,3879019
713,2015,충청북도,4,1924405
714,2016,강원도,4,1451457
715,2016,경기도,4,8712878
716,2016,경상남도,4,2864110
717,2016,경상북도,4,3683982
718,2016,광주광역시,4,675078
719,2016,대구광역시,4,1216827
720,2016,대전광역시,4,738081
721,2016,부산광역시,4,1647106
722,2016,서울특별시,4,3457927
723,2016,세종특별자치시,4,225166
724,2016,울산광역시,4,2652322
725,2016,인천광역시,4,1903770
726,2016,전라남도,4,2666903
727,2016,전라북도,4,1862918
728,2016,제주특별자치도,4,393203
729,2016,충청남도,4,3938652
730,2016,충청북도,4,2033076
731,2017,강원도,4,1390748
732,2017,경기도,4,9094729
733,2017,경상남도,4,2879081
734,2017,경상북도,4,3668403
735,2017,광주광역시,4,698719
736,2017,대구광역시,4,1234859
737,2017,대전광역시,4,748954
738,2017,부산광역시,4,1696125
739,2017,서울특별시,4,3470755
740,2017,세종특별자치시,4,234700
741,2017,울산광역시,4,2559430
742,2017,인천광역시,4,1945739
743,2017,전라남도,4,2791508
744,2017,전라북도,4,1882119
745,2017,제주특별자치도,4,418497
746,2017,충청남도,4,4069578
747,2017,충청북도,4,2027116
748,2018,강원도,4,1370294
749,2018,경기도,4,9563138
750,2018,경상남도,4,2840554
751,2018,경상북도,4,3740997
752,2018,광주광역시,4,685493
753,2018,대구광역시,4,1230455
754,2018,대전광역시,4,752264
755,2018,부산광역시,4,1675122
756,2018,서울특별시,4,3503967
757,2018,세종특별자치시,4,241693
758,2018,울산광역시,4,2620459
759,2018,인천광역시,4,1959511
760,2018,전라남도,4,3292919
761,2018,전라북도,4,1876137
762,2018,제주특별자치도,4,430151
763,2018,충청남도,4,4158538
764,2018,충청북도,4,2090819
765,2019,강원도,4,1376039
766,2019,경기도,4,9948716
767,2019,경상남도,4,2853723
768,2019,경상북도,4,3763435
769,2019,광주광역시,4,706907
770,2019,대구광역시,4,1228571
771,2019,대전광역시,4,753138
772,2019,부산광역시,4,1669235
773,2019,서울특별시,4,3591552
774,2019,세종특별자치시,4,259582
775,2019,울산광역시,4,2677516
776,2019,인천광역시,4,1975424
777,2019,전라남도,4,2791913
778,2019,전라북도,4,1887329
779,2019,제주특별자치도,4,460017
780,2019,충청남도,4,4272633
781,2019,충청북도,4,2224874
782,2020,강원도,4,1346006
783,2020,경기도,4,9788491
784,2020,경상남도,4,2735448
785,2020,경상북도,4,3313283
786,2020,광주광역시,4,660659
787,2020,대구광역시,4,1137812
788,2020,대전광역시,4,720330
789,2020,부산광역시,4,1607069
790,2020,서울특별시,4,3410967
791,2020,세종특별자치시,4,264607
792,2020,울산광역시,4,2702238
793,2020,인천광역시,4,1884823
794,2020,전라남도,4,2587626
795,2020,전라북도,4,1642399
796,2020,제주특별자치도,4,445261
797,2020,충청남도,4,4072519
798,2020,충청북도,4,2155659
799,2021,강원도,4,1334516
800,2021,경기도,4,10338339
801,2021,경상남도,4,2881552
802,2021,경상북도,4,3619611
803,2021,광주광역시,4,696052
804,2021,대구광역시,4,1210022
805,2021,대전광역시,4,751324
806,2021,부산광역시,4,1654340
807,2021,서울특별시,4,3449257
808,2021,세종특별자치시,4,287524
809,2021,울산광역시,4,2716614
810,2021,인천광역시,4,1952161
811,2021,전라남도,4,2670493
812,2021,전라북도,4,1725471
813,2021,제주특별자치도,4,461823
814,2021,충청남도,4,3876573
815,2021,충청북도,4,2274004
816,2010,강원도,5,1185530
817,2010,경기도,5,7156767
818,2010,경상남도,5,2453568
819,2010,경상북도,5,3321968
820,2010,광주광역시,5,603935
821,2010,대구광역시,5,1100160
822,2010,대전광역시,5,664428
823,2010,부산광역시,5,1571566
824,2010,서울특별시,5,3426951
825,2010,세종특별자치시,5,0
826,2010,울산광역시,5,2200352
827,2010,인천광역시,5,1707125
828,2010,전라남도,5,1991208
829,2010,전라북도,5,1523156
830,2010,제주특별자치도,5,275117
831,2010,충청남도,5,3068283
832,2010,충청북도,5,1559121
833,2011,강원도,5,1245617
834,2011,경기도,5,7414139
835,2011,경상남도,5,2557899
836,2011,경상북도,5,3610096
837,2011,광주광역시,5,615840
838,2011,대구광역시,5,1126409
839,2011,대전광역시,5,685169
840,2011,부산광역시,5,1560035
841,2011,서울특별시,5,3425703
842,2011,세종특별자치시,5,0
843,2011,울산광역시,5,2330604
844,2011,인천광역시,5,1748862
845,2011,전라남도,5,2075964
846,2011,전라북도,5,1691075
847,2011,제주특별자치도,5,283081
848,2011,충청남도,5,3457266
