,연도,시도,시군구,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
366,2011년,충청남도,금산군,89893,81709,81237,77236,68346,68900,70562,66962,67443,71192,77253,82934
367,2011년,충청남도,논산시,118460,114906,105388,98880,85657,85351,84574,87764,85107,79722,95180,99220
368,2011년,충청남도,당진시,857989,743067,842787,823010,833864,812906,773998,759957,763623,835161,791610,854662
369,2011년,충청남도,보령시,95047,94990,83316,83500,75062,70736,68330,75771,73415,71058,82132,83366
370,2011년,충청남도,부여군,60564,60493,50684,46715,38166,35737,35749,38771,38427,37385,44741,46943
371,2011년,충청남도,서산시,454587,424691,420274,395535,433883,472176,498712,502816,473011,433971,485292,496151
372,2011년,충청남도,서천군,121166,115090,112118,112935,89685,85997,87234,85759,85770,-319,27499,30707
373,2011년,충청남도,아산시,883698,807585,863509,832207,847361,833462,872589,872854,850112,874488,881578,920251
374,2011년,충청남도,연기군,141920,132499,128446,126075,119345,120847,125187,127550,123800,124825,131249,140883
375,2011년,충청남도,예산군,84496,81134,73074,68744,60185,57047,56659,59087,57968,57779,65399,70451
376,2011년,충청남도,천안시,706583,649134,645491,622318,599208,602405,636851,651766,609588,597690,615233,650184
377,2011년,충청남도,청양군,28206,28553,24579,23562,19652,18655,18413,19872,19302,19232,22643,23084
378,2011년,충청남도,태안군,52785,54881,43640,45410,44880,35608,32311,38299,38809,34361,49665,43651
379,2011년,충청남도,홍성군,73485,72349,64728,61843,52590,49207,48426,51871,51137,49814,61304,64068
380,2011년,전라북도,고창군,45577,44335,38958,38667,32076,29829,30742,33239,31151,30253,39312,48775
381,2011년,전라북도,군산시,669983,622507,670106,656204,676864,667853,679176,654789,670039,689270,712465,733394
382,2011년,전라북도,김제시,84130,81771,73000,70912,60241,58426,58522,61949,59646,57610,68052,73346
383,2011년,전라북도,남원시,54058,53173,47271,45583,39189,38176,38216,41857,40928,39397,47043,48090
384,2011년,전라북도,무주군,23978,23157,18362,15996,13142,12108,11609,12497,12189,12579,15034,20273
385,2011년,전라북도,부안군,41841,41762,35784,35151,28124,26739,26781,30686,28486,26397,34731,34439
386,2011년,전라북도,순창군,19286,19247,16515,16079,13395,13435,13537,14869,14669,13804,16304,17660
387,2011년,전라북도,완주군,136166,124390,127284,119603,110399,107041,112812,109352,105201,108036,113848,123022
388,2011년,전라북도,익산시,281136,268547,263443,259228,246361,245816,256756,255654,256555,244274,248662,260723
389,2011년,전라북도,임실군,23094,23256,20099,18869,15438,14277,14111,15896,16190,15414,18575,20276
390,2011년,전라북도,장수군,19553,19794,16761,15816,12540,11039,10235,10572,11004,11548,13406,15860
391,2011년,전라북도,전주시,405509,391579,378077,357518,340608,335397,351135,367115,345682,337810,334460,363692
392,2011년,전라북도,정읍시,113740,109052,103012,100062,90556,88535,92246,92039,92441,89984,97545,100752
393,2011년,전라북도,진안군,18305,18674,15281,14826,12142,10957,10435,11659,12223,11852,13807,14928
394,2011년,전라남도,강진군,23593,23809,20127,20489,17426,17165,17130,20810,19067,18358,22887,21862
395,2011년,전라남도,고흥군,39826,39180,36251,37635,28020,24217,23914,28470,27648,24397,31214,36040
396,2011년,전라남도,곡성군,38092,34863,32204,33634,31964,32083,32469,31476,31192,32013,34093,35442
397,2011년,전라남도,광양시,413319,378479,362661,467303,354108,360041,426731,467616,450347,519153,523488,488428
398,2011년,전라남도,구례군,15957,15459,13829,13144,10993,10413,10475,12008,11216,10683,11709,13135
399,2011년,전라남도,나주시,79811,76574,70644,70225,64401,66471,67750,72528,66591,63489,71280,72563
400,2011년,전라남도,담양군,46095,44904,40192,39046,32260,31111,31639,35208,34236,32955,36270,39004
401,2011년,전라남도,목포시,97128,97122,83669,83525,72257,70963,76001,88254,80988,71369,73944,81753
402,2011년,전라남도,무안군,44678,44002,41134,40486,33519,33834,36677,41715,38921,37123,45210,41496
403,2011년,전라남도,보성군,24514,24422,20207,20376,17821,16885,16920,19587,18989,17333,20339,22669
404,2011년,전라남도,순천시,154630,144269,131588,133247,122408,124575,131492,141029,129148,129409,135727,146367
405,2011년,전라남도,신안군,21474,22586,20178,20515,16278,14586,14083,16619,16648,15951,19779,19691
406,2011년,전라남도,여수시,948880,844811,928026,889489,884191,842453,949748,954341,889393,901996,883856,921178
407,2011년,전라남도,영광군,53734,54099,50819,45816,42765,57501,42259,42264,44489,39431,49531,46210
408,2011년,전라남도,영암군,138614,115151,122173,113557,107800,113690,114299,114048,108114,108893,115485,125164
409,2011년,전라남도,완도군,59731,59981,53404,61814,59424,56834,57762,65559,66393,64316,67718,58361
410,2011년,전라남도,장성군,54346,47875,51754,50652,46151,44824,43095,45323,44502,45019,47890,50772
