,연월,연도,월,시도,고용률
454,2021_11,2021,11,대구광역시,59.0
455,2021_12,2021,12,대구광역시,58.0
456,2022_01,2022,1,대구광역시,57.7
457,2022_02,2022,2,대구광역시,58.2
458,2022_03,2022,3,대구광역시,58.9
459,2022_04,2022,4,대구광역시,58.9
460,2022_05,2022,5,대구광역시,59.7
461,2022_06,2022,6,대구광역시,59.4
462,2022_07,2022,7,대구광역시,59.8
463,2022_08,2022,8,대구광역시,59.7
464,2022_09,2022,9,대구광역시,59.7
465,2022_10,2022,10,대구광역시,59.5
466,2022_11,2022,11,대구광역시,59.3
467,2022_12,2022,12,대구광역시,58.5
468,2010_01,2010,1,인천광역시,57.9
469,2010_02,2010,2,인천광역시,57.7
470,2010_03,2010,3,인천광역시,58.6
471,2010_04,2010,4,인천광역시,59.9
472,2010_05,2010,5,인천광역시,60.6
473,2010_06,2010,6,인천광역시,60.3
474,2010_07,2010,7,인천광역시,61.3
475,2010_08,2010,8,인천광역시,59.8
476,2010_09,2010,9,인천광역시,59.7
477,2010_10,2010,10,인천광역시,60.0
478,2010_11,2010,11,인천광역시,60.5
479,2010_12,2010,12,인천광역시,59.5
480,2011_01,2011,1,인천광역시,58.2
481,2011_02,2011,2,인천광역시,58.0
482,2011_03,2011,3,인천광역시,59.0
483,2011_04,2011,4,인천광역시,60.4
484,2011_05,2011,5,인천광역시,61.7
485,2011_06,2011,6,인천광역시,61.8
486,2011_07,2011,7,인천광역시,61.5
487,2011_08,2011,8,인천광역시,61.4
488,2011_09,2011,9,인천광역시,60.7
489,2011_10,2011,10,인천광역시,61.8
490,2011_11,2011,11,인천광역시,61.8
491,2011_12,2011,12,인천광역시,61.6
492,2012_01,2012,1,인천광역시,59.8
493,2012_02,2012,2,인천광역시,59.7
494,2012_03,2012,3,인천광역시,61.3
495,2012_04,2012,4,인천광역시,62.2
496,2012_05,2012,5,인천광역시,62.4
497,2012_06,2012,6,인천광역시,62.5
498,2012_07,2012,7,인천광역시,62.5
499,2012_08,2012,8,인천광역시,61.5
500,2012_09,2012,9,인천광역시,61.7
501,2012_10,2012,10,인천광역시,62.2
502,2012_11,2012,11,인천광역시,62.2
503,2012_12,2012,12,인천광역시,60.8
504,2013_01,2013,1,인천광역시,59.3
505,2013_02,2013,2,인천광역시,59.1
506,2013_03,2013,3,인천광역시,60.9
507,2013_04,2013,4,인천광역시,61.7
508,2013_05,2013,5,인천광역시,61.9
509,2013_06,2013,6,인천광역시,62.3
510,2013_07,2013,7,인천광역시,61.7
511,2013_08,2013,8,인천광역시,61.8
512,2013_09,2013,9,인천광역시,62.1
513,2013_10,2013,10,인천광역시,62.2
514,2013_11,2013,11,인천광역시,61.3
515,2013_12,2013,12,인천광역시,61.0
516,2014_01,2014,1,인천광역시,60.1
517,2014_02,2014,2,인천광역시,60.1
518,2014_03,2014,3,인천광역시,60.9
519,2014_04,2014,4,인천광역시,62.1
520,2014_05,2014,5,인천광역시,62.3
521,2014_06,2014,6,인천광역시,62.3
522,2014_07,2014,7,인천광역시,62.4
523,2014_08,2014,8,인천광역시,61.8
524,2014_09,2014,9,인천광역시,61.9
525,2014_10,2014,10,인천광역시,61.1
526,2014_11,2014,11,인천광역시,60.9
527,2014_12,2014,12,인천광역시,59.6
528,2015_01,2015,1,인천광역시,59.6
529,2015_02,2015,2,인천광역시,59.3
530,2015_03,2015,3,인천광역시,60.3
531,2015_04,2015,4,인천광역시,61.1
532,2015_05,2015,5,인천광역시,61.7
533,2015_06,2015,6,인천광역시,61.7
