,연월,시도,인구밀도,연도,월,사용량
398,2020.03,대구광역시,2756,2020,3,1762335
399,2020.04,대구광역시,2753,2020,4,4134045
400,2020.05,대구광역시,2750,2020,5,304010
401,2020.06,대구광역시,2749,2020,6,2646795
402,2020.07,대구광역시,2749,2020,7,2089431
403,2020.08,대구광역시,2749,2020,8,2738900
404,2020.09,대구광역시,2748,2020,9,1830234
405,2020.1,대구광역시,2745,2020,10,503324
406,2020.11,대구광역시,2742,2020,11,4039445
407,2020.12,대구광역시,2738,2020,12,2373601
408,2021.01,대구광역시,2732,2021,1,1308429
409,2021.02,대구광역시,2729,2021,2,7574084
410,2021.03,대구광역시,2724,2021,3,2648326
411,2021.04,대구광역시,2722,2021,4,3484251
412,2021.05,대구광역시,2718,2021,5,632293
413,2021.06,대구광역시,2712,2021,6,1172936
414,2021.07,대구광역시,2710,2021,7,716986
415,2021.08,대구광역시,2707,2021,8,1635276
416,2021.09,대구광역시,2706,2021,9,3624186
417,2021.1,대구광역시,2704,2021,10,0
418,2021.11,대구광역시,2701,2021,11,2179708
419,2021.12,대구광역시,2698,2021,12,1797828
420,2022.01,대구광역시,2696,2022,1,2027921
421,2022.02,대구광역시,2693,2022,2,1572336
422,2022.03,대구광역시,2692,2022,3,284038
423,2022.04,대구광역시,2690,2022,4,3236855
424,2022.05,대구광역시,2688,2022,5,1658672
425,2022.06,대구광역시,2686,2022,6,1420666
426,2022.07,대구광역시,2685,2022,7,8206234
427,2022.08,대구광역시,2683,2022,8,2874490
428,2022.09,대구광역시,2678,2022,9,3779253
429,2022.1,대구광역시,2677,2022,10,672951
430,2022.11,대구광역시,2676,2022,11,1234507
431,2022.12,대구광역시,2673,2022,12,757165
432,2011.01,인천광역시,2675,2011,1,1704632
433,2011.02,인천광역시,2679,2011,2,3736362
434,2011.03,인천광역시,2682,2011,3,0
435,2011.04,인천광역시,2686,2011,4,2302130
436,2011.05,인천광역시,2689,2011,5,1925528
437,2011.06,인천광역시,2692,2011,6,2249390
438,2011.07,인천광역시,2696,2011,7,1823953
439,2011.08,인천광역시,2700,2011,8,301595
440,2011.09,인천광역시,2703,2011,9,3649257
441,2011.1,인천광역시,2707,2011,10,1795514
442,2011.11,인천광역시,2711,2011,11,1471927
443,2011.12,인천광역시,2714,2011,12,8665829
444,2012.01,인천광역시,2693,2012,1,2976283
445,2012.02,인천광역시,2697,2012,2,3959571
446,2012.03,인천광역시,2700,2012,3,696422
447,2012.04,인천광역시,2704,2012,4,1281521
448,2012.05,인천광역시,2707,2012,5,785989
449,2012.06,인천광역시,2709,2012,6,1794675
450,2012.07,인천광역시,2712,2012,7,3837539
451,2012.08,인천광역시,2716,2012,8,0
452,2012.09,인천광역시,2720,2012,9,2488226
453,2012.1,인천광역시,2724,2012,10,1938203
454,2012.11,인천광역시,2728,2012,11,2322324
455,2012.12,인천광역시,2731,2012,12,1932255
456,2013.01,인천광역시,2734,2013,1,332926
457,2013.02,인천광역시,2738,2013,2,3944672
458,2013.03,인천광역시,2741,2013,3,1879751
459,2013.04,인천광역시,2744,2013,4,1401610
460,2013.05,인천광역시,2746,2013,5,8564516
461,2013.06,인천광역시,2749,2013,6,2852239
462,2013.07,인천광역시,2752,2013,7,3862004
463,2013.08,인천광역시,2754,2013,8,658528
464,2013.09,인천광역시,2757,2013,9,1214829
465,2013.1,인천광역시,2760,2013,10,752100
466,2013.11,인천광역시,2763,2013,11,1660595
467,2013.12,인천광역시,2766,2013,12,3652776
468,2014.01,인천광역시,2750,2014,1,193991
469,2014.02,인천광역시,2752,2014,2,2359822
470,2014.03,인천광역시,2754,2014,3,1914157
471,2014.04,인천광역시,2756,2014,4,2561902
472,2014.05,인천광역시,2759,2014,5,1884301
473,2014.06,인천광역시,2760,2014,6,331589
474,2014.07,인천광역시,2761,2014,7,3808302
475,2014.08,인천광역시,2762,2014,8,1831061
476,2014.09,인천광역시,2764,2014,9,1394556
477,2014.1,인천광역시,2766,2014,10,8604750
478,2014.11,인천광역시,2768,2014,11,2944134
479,2014.12,인천광역시,2769,2014,12,4015412
480,2015.01,인천광역시,2769,2015,1,683278
481,2015.02,인천광역시,2770,2015,2,1246283
482,2015.03,인천광역시,2772,2015,3,757265
483,2015.04,인천광역시,2774,2015,4,1675854
484,2015.05,인천광역시,2776,2015,5,3547923
485,2015.06,인천광역시,2778,2015,6,208030
486,2015.07,인천광역시,2780,2015,7,2565806
487,2015.08,인천광역시,2782,2015,8,1876836
488,2015.09,인천광역시,2784,2015,9,2804619
489,2015.1,인천광역시,2786,2015,10,1930533
490,2015.11,인천광역시,2787,2015,11,359620
491,2015.12,인천광역시,2789,2015,12,4085945
492,2016.01,인천광역시,2753,2016,1,1921157
493,2016.02,인천광역시,2755,2016,2,1438930
494,2016.03,인천광역시,2756,2016,3,8783408
495,2016.04,인천광역시,2758,2016,4,2964230
496,2016.05,인천광역시,2760,2016,5,3833618
