,연월,시도,인구수,연도,월
368,2017.09,대구광역시,2478236,2017,09
369,2017.1,대구광역시,2477186,2017,10
370,2017.11,대구광역시,2476557,2017,11
371,2017.12,대구광역시,2475231,2017,12
372,2018.01,대구광역시,2474309,2018,01
373,2018.02,대구광역시,2473466,2018,02
374,2018.03,대구광역시,2472175,2018,03
375,2018.04,대구광역시,2471136,2018,04
376,2018.05,대구광역시,2469936,2018,05
377,2018.06,대구광역시,2469617,2018,06
378,2018.07,대구광역시,2468824,2018,07
379,2018.08,대구광역시,2467385,2018,08
380,2018.09,대구광역시,2466454,2018,09
381,2018.1,대구광역시,2465145,2018,10
382,2018.11,대구광역시,2464002,2018,11
383,2018.12,대구광역시,2461769,2018,12
384,2019.01,대구광역시,2460382,2019,01
385,2019.02,대구광역시,2458138,2019,02
386,2019.03,대구광역시,2455829,2019,03
387,2019.04,대구광역시,2454154,2019,04
388,2019.05,대구광역시,2452291,2019,05
389,2019.06,대구광역시,2450478,2019,06
390,2019.07,대구광역시,2448666,2019,07
391,2019.08,대구광역시,2446745,2019,08
392,2019.09,대구광역시,2445270,2019,09
393,2019.1,대구광역시,2443528,2019,10
394,2019.11,대구광역시,2441581,2019,11
395,2019.12,대구광역시,2438031,2019,12
396,2020.01,대구광역시,2436488,2020,01
397,2020.02,대구광역시,2432883,2020,02
398,2020.03,대구광역시,2433568,2020,03
399,2020.04,대구광역시,2431523,2020,04
400,2020.05,대구광역시,2429059,2020,05
401,2020.06,대구광역시,2427954,2020,06
402,2020.07,대구광역시,2428022,2020,07
403,2020.08,대구광역시,2428228,2020,08
404,2020.09,대구광역시,2426849,2020,09
405,2020.1,대구광역시,2424171,2020,10
406,2020.11,대구광역시,2421859,2020,11
407,2020.12,대구광역시,2418346,2020,12
408,2021.01,대구광역시,2415813,2021,01
409,2021.02,대구광역시,2413191,2021,02
410,2021.03,대구광역시,2408875,2021,03
411,2021.04,대구광역시,2406296,2021,04
412,2021.05,대구광역시,2402940,2021,05
413,2021.06,대구광역시,2397646,2021,06
414,2021.07,대구광역시,2395749,2021,07
415,2021.08,대구광역시,2393626,2021,08
416,2021.09,대구광역시,2392787,2021,09
417,2021.1,대구광역시,2390721,2021,10
418,2021.11,대구광역시,2388230,2021,11
419,2021.12,대구광역시,2385412,2021,12
420,2022.01,대구광역시,2383858,2022,01
421,2022.02,대구광역시,2381095,2022,02
422,2022.03,대구광역시,2380494,2022,03
423,2022.04,대구광역시,2378573,2022,04
424,2022.05,대구광역시,2376676,2022,05
425,2022.06,대구광역시,2375306,2022,06
426,2022.07,대구광역시,2374120,2022,07
427,2022.08,대구광역시,2371936,2022,08
428,2022.09,대구광역시,2367735,2022,09
429,2022.1,대구광역시,2366852,2022,10
430,2022.11,대구광역시,2365619,2022,11
431,2022.12,대구광역시,2363691,2022,12
432,2011.01,인천광역시,2761122,2011,01
433,2011.02,인천광역시,2765025,2011,02
434,2011.03,인천광역시,2768648,2011,03
435,2011.04,인천광역시,2772131,2011,04
436,2011.05,인천광역시,2775394,2011,05
437,2011.06,인천광역시,2779133,2011,06
438,2011.07,인천광역시,2782458,2011,07
439,2011.08,인천광역시,2786717,2011,08
440,2011.09,인천광역시,2790226,2011,09
441,2011.1,인천광역시,2794493,2011,10
442,2011.11,인천광역시,2798762,2011,11
443,2011.12,인천광역시,2801274,2011,12
444,2012.01,인천광역시,2804287,2012,01
445,2012.02,인천광역시,2808286,2012,02
446,2012.03,인천광역시,2811410,2012,03
447,2012.04,인천광역시,2815158,2012,04
448,2012.05,인천광역시,2818348,2012,05
449,2012.06,인천광역시,2820994,2012,06
450,2012.07,인천광역시,2824150,2012,07
451,2012.08,인천광역시,2828342,2012,08
452,2012.09,인천광역시,2831729,2012,09
453,2012.1,인천광역시,2836080,2012,10
454,2012.11,인천광역시,2840308,2012,11
455,2012.12,인천광역시,2843981,2012,12
456,2013.01,인천광역시,2846899,2013,01
457,2013.02,인천광역시,2850543,2013,02
458,2013.03,인천광역시,2853489,2013,03
459,2013.04,인천광역시,2856667,2013,04
460,2013.05,인천광역시,2859335,2013,05
461,2013.06,인천광역시,2861722,2013,06
462,2013.07,인천광역시,2864951,2013,07
463,2013.08,인천광역시,2867429,2013,08
464,2013.09,인천광역시,2870125,2013,09
465,2013.1,인천광역시,2873451,2013,10
