,년월,연도,월,시도,사용량,위도,경도
301,2011_2,2011,2,경상남도,2931864,35.460156,128.215601
302,2012_2,2012,2,경상남도,3129982,35.460156,128.215601
303,2013_2,2013,2,경상남도,3003028,35.460156,128.215601
304,2014_2,2014,2,경상남도,3029916,35.460156,128.215601
305,2015_2,2015,2,경상남도,3071402,35.460156,128.215601
306,2016_2,2016,2,경상남도,3162965,35.460156,128.215601
307,2017_2,2017,2,경상남도,3216892,35.460156,128.215601
308,2018_2,2018,2,경상남도,3258151,35.460156,128.215601
309,2019_2,2019,2,경상남도,3043750,35.460156,128.215601
310,2020_2,2020,2,경상남도,3125833,35.460156,128.215601
311,2021_2,2021,2,경상남도,3131331,35.460156,128.215601
312,2010_3,2010,3,경상남도,2648326,35.460156,128.215601
313,2011_3,2011,3,경상남도,2874490,35.460156,128.215601
314,2012_3,2012,3,경상남도,2976283,35.460156,128.215601
315,2013_3,2013,3,경상남도,2852239,35.460156,128.215601
316,2014_3,2014,3,경상남도,2944134,35.460156,128.215601
317,2015_3,2015,3,경상남도,2964230,35.460156,128.215601
318,2016_3,2016,3,경상남도,3061924,35.460156,128.215601
319,2017_3,2017,3,경상남도,2992019,35.460156,128.215601
320,2018_3,2018,3,경상남도,2967940,35.460156,128.215601
321,2019_3,2019,3,경상남도,2903814,35.460156,128.215601
322,2020_3,2020,3,경상남도,2954776,35.460156,128.215601
323,2021_3,2021,3,경상남도,2991661,35.460156,128.215601
324,2010_4,2010,4,경상남도,2665253,35.460156,128.215601
325,2011_4,2011,4,경상남도,2770642,35.460156,128.215601
326,2012_4,2012,4,경상남도,2785022,35.460156,128.215601
327,2013_4,2013,4,경상남도,2810317,35.460156,128.215601
328,2014_4,2014,4,경상남도,2820219,35.460156,128.215601
329,2015_4,2015,4,경상남도,2888704,35.460156,128.215601
330,2016_4,2016,4,경상남도,2864110,35.460156,128.215601
331,2017_4,2017,4,경상남도,2879081,35.460156,128.215601
332,2018_4,2018,4,경상남도,2840554,35.460156,128.215601
