,년월,연도,월,시도,사용량
333,2017.2,2017,02,울산광역시,2492173
334,2017.2,2017,02,인천광역시,2146147
335,2017.2,2017,02,전라남도,2784465
336,2017.2,2017,02,전라북도,2027150
337,2017.2,2017,02,제주특별자치도,462912
338,2017.2,2017,02,충청남도,4225252
339,2017.2,2017,02,충청북도,2166244
340,2018.2,2018,02,강원도,1674745
341,2018.2,2018,02,경기도,11183300
342,2018.2,2018,02,경상남도,3258151
343,2018.2,2018,02,경상북도,3978655
344,2018.2,2018,02,광주광역시,798506
345,2018.2,2018,02,대구광역시,1433194
346,2018.2,2018,02,대전광역시,885432
347,2018.2,2018,02,부산광역시,1898871
348,2018.2,2018,02,서울특별시,4469940
349,2018.2,2018,02,세종특별자치시,269702
350,2018.2,2018,02,울산광역시,2600426
351,2018.2,2018,02,인천광역시,2195442
352,2018.2,2018,02,전라남도,2885332
353,2018.2,2018,02,전라북도,2037531
354,2018.2,2018,02,제주특별자치도,511137
355,2018.2,2018,02,충청남도,4387240
356,2018.2,2018,02,충청북도,2282183
357,2019.2,2019,02,강원도,1512411
358,2019.2,2019,02,경기도,10712180
359,2019.2,2019,02,경상남도,3043750
360,2019.2,2019,02,경상북도,3733473
361,2019.2,2019,02,광주광역시,741799
362,2019.2,2019,02,대구광역시,1327236
363,2019.2,2019,02,대전광역시,814190
364,2019.2,2019,02,부산광역시,1753708
365,2019.2,2019,02,서울특별시,4127699
366,2019.2,2019,02,세종특별자치시,266668
367,2019.2,2019,02,울산광역시,2621410
368,2019.2,2019,02,인천광역시,2028323
369,2019.2,2019,02,전라남도,2731063
370,2019.2,2019,02,전라북도,1898888
371,2019.2,2019,02,제주특별자치도,505067
372,2019.2,2019,02,충청남도,4297030
373,2019.2,2019,02,충청북도,2238691
374,2020.2,2020,02,강원도,1501655
375,2020.2,2020,02,경기도,10853826
376,2020.2,2020,02,경상남도,3125833
377,2020.2,2020,02,경상북도,3562814
378,2020.2,2020,02,광주광역시,740068
379,2020.2,2020,02,대구광역시,1314568
380,2020.2,2020,02,대전광역시,830839
381,2020.2,2020,02,부산광역시,1782217
382,2020.2,2020,02,서울특별시,4037392
383,2020.2,2020,02,세종특별자치시,283275
384,2020.2,2020,02,울산광역시,2707435
385,2020.2,2020,02,인천광역시,2062334
386,2020.2,2020,02,전라남도,2619058
387,2020.2,2020,02,전라북도,1903234
388,2020.2,2020,02,제주특별자치도,492245
389,2020.2,2020,02,충청남도,4377240
390,2020.2,2020,02,충청북도,2304328
391,2021.2,2021,02,강원도,1539605
392,2021.2,2021,02,경기도,11464174
393,2021.2,2021,02,경상남도,3131331
394,2021.2,2021,02,경상북도,3673374
395,2021.2,2021,02,광주광역시,767227
396,2021.2,2021,02,대구광역시,1342988
397,2021.2,2021,02,대전광역시,847141
398,2021.2,2021,02,부산광역시,1762335
399,2021.2,2021,02,서울특별시,4134045
400,2021.2,2021,02,세종특별자치시,304010
401,2021.2,2021,02,울산광역시,2646795
402,2021.2,2021,02,인천광역시,2089431
403,2021.2,2021,02,전라남도,2738900
404,2021.2,2021,02,전라북도,1830234
405,2021.2,2021,02,제주특별자치도,503324
406,2021.2,2021,02,충청남도,4039445
407,2021.2,2021,02,충청북도,2373601
408,2010.3,2010,03,강원도,1308429
409,2010.3,2010,03,경기도,7574084
410,2010.3,2010,03,경상남도,2648326
411,2010.3,2010,03,경상북도,3484251
412,2010.3,2010,03,광주광역시,632293
413,2010.3,2010,03,대구광역시,1172936
414,2010.3,2010,03,대전광역시,716986
415,2010.3,2010,03,부산광역시,1635276
416,2010.3,2010,03,서울특별시,3624186
417,2010.3,2010,03,세종특별자치시,0
418,2010.3,2010,03,울산광역시,2179708
419,2010.3,2010,03,인천광역시,1797828
420,2010.3,2010,03,전라남도,2027921
421,2010.3,2010,03,전라북도,1572336
422,2010.3,2010,03,제주특별자치도,284038
423,2010.3,2010,03,충청남도,3236855
424,2010.3,2010,03,충청북도,1658672
425,2011.3,2011,03,강원도,1420666
426,2011.3,2011,03,경기도,8206234
