,연도,시도,월,사용량
806,2021,부산광역시,04,1654340
807,2021,서울특별시,04,3449257
808,2021,세종특별자치시,04,287524
809,2021,울산광역시,04,2716614
810,2021,인천광역시,04,1952161
811,2021,전라남도,04,2670493
812,2021,전라북도,04,1725471
813,2021,제주특별자치도,04,461823
814,2021,충청남도,04,3876573
815,2021,충청북도,04,2274004
816,2010,강원도,05,1185530
817,2010,경기도,05,7156767
818,2010,경상남도,05,2453568
819,2010,경상북도,05,3321968
820,2010,광주광역시,05,603935
821,2010,대구광역시,05,1100160
822,2010,대전광역시,05,664428
823,2010,부산광역시,05,1571566
824,2010,서울특별시,05,3426951
825,2010,세종특별자치시,05,0
826,2010,울산광역시,05,2200352
827,2010,인천광역시,05,1707125
828,2010,전라남도,05,1991208
829,2010,전라북도,05,1523156
830,2010,제주특별자치도,05,275117
831,2010,충청남도,05,3068283
832,2010,충청북도,05,1559121
833,2011,강원도,05,1245617
834,2011,경기도,05,7414139
835,2011,경상남도,05,2557899
836,2011,경상북도,05,3610096
837,2011,광주광역시,05,615840
838,2011,대구광역시,05,1126409
839,2011,대전광역시,05,685169
840,2011,부산광역시,05,1560035
841,2011,서울특별시,05,3425703
842,2011,세종특별자치시,05,0
843,2011,울산광역시,05,2330604
844,2011,인천광역시,05,1748862
845,2011,전라남도,05,2075964
846,2011,전라북도,05,1691075
847,2011,제주특별자치도,05,283081
848,2011,충청남도,05,3457266
