,전국,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주특별자치도
2020.10,51838016,9689159,3397598,2424171,2942233,1452994,1467556,1138581,351007,13400615,1541836,1599102,2120347,1805937,1850680,2639763,3342831,673606
2020.11,51834302,9679771,3395514,2421859,2942307,1451993,1465893,1137345,353430,13413459,1542374,1599680,2120607,1805204,1850557,2639245,3341063,674001
2020.12,51829023,9668465,3391946,2418346,2942828,1450062,1463882,1136017,355831,13427014,1542840,1600837,2121029,1804104,1851549,2639422,3340216,674635
2021.01,51825932,9657969,3389388,2415813,2942452,1449115,1463291,1135370,357871,13449499,1541696,1599658,2119837,1802748,1850575,2637639,3338396,674615
2021.02,51824142,9648606,3387761,2413191,2941705,1447953,1462064,1132953,359569,13471758,1540875,1599122,2119542,1801319,1849795,2636747,3336045,675137
2021.03,51705905,9598484,3372399,2408875,2936461,1445473,1458463,1129254,360462,13465837,1536399,1595714,2115823,1797450,1844811,2635563,3330463,673974
2021.04,51702100,9588711,3369704,2406296,2936214,1444787,1457619,1128163,361396,13479798,1536175,1596303,2116452,1796331,1844148,2635896,3329623,674484
2021.05,51683025,9575355,3367334,2402940,2936382,1443154,1457161,1127175,362036,13488910,1535491,1596955,2117260,1794682,1842423,2633592,3327298,674877
2021.06,51672400,9565990,3364358,2397646,2936367,1442647,1456107,1126369,362995,13500688,1535530,1597503,2117400,1794345,1840921,2632401,3325840,675293
2021.07,51671569,9558153,3361781,2395749,2937440,1442482,1455300,1125727,364364,13512867,1536140,1597501,2118205,1793902,1839698,2631649,3324735,675876
2021.08,51669716,9550227,3359527,2393626,2938429,1441970,1454679,1124459,365309,13530519,1536270,1597179,2118183,1792476,1838353,2630254,3322373,675883
2021.09,51667688,9542256,3358763,2392787,2941795,1442827,1455058,1123236,366560,13542284,1536765,1596765,2118098,1791110,1835690,2628344,3319271,676079
2021.10,51662290,9532428,3356311,2390721,2945009,1442454,1454228,1122566,368276,13549577,1537717,1596948,2118977,1789770,1834653,2627925,3318161,676569
2021.11,51652704,9520880,3353627,2388230,2946319,1442138,1453675,1122495,369465,13557973,1538273,1597019,2119529,1788616,1833864,2627468,3316365,676768
2021.12,51638809,9509458,3350380,2385412,2948375,1441611,1452251,1121592,371895,13565450,1538492,1597427,2119257,1786855,1832803,2626609,3314183,676759
2022.01,51632473,9505926,3348874,2383858,2949150,1441636,1451272,1121100,374377,13571450,1538660,1597097,2118638,1785392,1832604,2624310,3311438,676691
2022.02,51625561,9508451,3347396,2381095,2950978,1440032,1450862,1119446,376399,13574369,1539051,1597022,2118912,1783923,1831451,2622026,3307005,677143
2022.03,51610695,9506778,3343504,2380494,2952699,1438463,1450057,1118010,377296,13575936,1539036,1597484,2119099,1782205,1829501,2619641,3303274,677218
2022.04,51592660,9500480,3340214,2378573,2953260,1436916,1449360,1117204,378196,13577808,1539038,1597284,2119296,1780824,1828550,2617552,3300692,677413
2022.05,51583722,9496887,3338167,2376676,2955167,1436012,1448933,1116482,379340,13581496,1539005,1597033,2119661,1779230,1827674,2616177,3298016,677766
2022.06,51578178,9494807,3336737,2375306,2957066,1435378,1448401,1115609,380215,13585967,1539064,1597118,2120201,1778279,1826440,2613963,3295615,678012
2022.07,51574446,9493211,3334595,2374120,2960580,1434703,1448182,1114753,380889,13589362,1539178,1597163,2121011,1776949,1825534,2612016,3293709,678491
2022.08,51558441,9488454,3331444,2371936,2963117,1434397,1448240,1113458,381439,13590056,1538801,1596886,2121082,1775664,1824104,2609356,3290991,679016
2022.09,51466658,9450768,3323826,2367735,2960097,1432856,1446602,1112191,381925,13574353,1537396,1595624,2120269,1772596,1820458,2605066,3286470,678426
2022.10,51459626,9443722,3322286,2366852,2962388,1432651,1446863,1111707,382258,13579508,1537339,1595578,2121333,1771776,1819157,2603389,3284495,678324
2022.11,51450829,9436836,3320276,2365619,2964820,1432049,1446749,1111371,382770,13583238,1536863,1595284,2122357,1770839,1818484,2602052,3282849,678373
2022.12,51439038,9428372,3317812,2363691,2967314,1431050,1446072,1110663,383591,13589432,1536498,1595058,2123037,1769607,1817697,2600492,3280493,678159
